"timestamp","spillid","companyname","incidentdate","datespillstopped","initialcontainmentmeasures","estimatedquantity","causeofspill","sitelocationname","gpslatdeg","gpslatmin","gpslatsec","gpslongdeg","gpslongmin","gpslongsec","latitude","longitude","estimatedspillarea","typeoffacility","datejiv","spillareahabitat","impact","descriptionofimpact","image","datecleanup","datecleanupcompleted","methodsofcleanup","dateofpostcleanupinspection","dateofpostimpactassessment","furtherremediation","datecertificate","thirdparty","month","year","monthNum","lga"
"","","CHEVRON","2011-11-13","","","0","Corrosion","Robertkiri jacket #19","","","","","","",4.53072222222,6.63058333333,"","","","","","","","","","","","","","","no","Nov","2011","11","Akuku Toru"
"","2012/SAR/018","CHEVRON","2012-02-04","","","0","Other","18 Tebidaba/Brass pipeline riser at Mbasikiri""","","","","","","",4.40536111111,6.26175,"SW","","","","","","","","","","","","","","no","Feb","2012","02","Nembe"
"","","MPN","2009-06-04","","","3287","Equipment Failure","Tank 5006 OML: QIT","","","","","","",4.54668333333,8.01646666667,"LA","","","","","","","","","","","","","","no","Jun","2009","06",""
"","2009/lar/002A/003","NAOC","2009-01-03","","","14","Corrosion","Taylor creek 1T flowline at Kalaba   [La]","","","","","","",5.13958055556,6.44786111111,"LA","","","","","","","","","","","","","","no","Jan","2009","01","Yenegoa"
"","2009/sar/094/135","NAOC","2009-05-15","","","61","Corrosion","18'' Tebidaba-Brass pipeline at Abalikiri","","","","","","",4.45780555556,6.17452777778,"SW","","","","","","","","","","","","","","no","May","2009","05","Nembe"
"","","MPN","2010-10-15","","","134","Operational Error","QIT Tank Farm/Tank 5003","","","","","","",4.55031666667,8.01736666667,"","","","","","","","","","","","","","","no","Oct","2010","10",""
"","37/2011","MPN","2011-08-12","","","0","Corrosion","oso pp oml 70","","","","","","",4.34557166667,7.67729055556,"OF","","","","","","","","","","","","","","no","Aug","2011","08",""
"","38/2011","MPN","2011-08-15","","","0","Equipment Failure","ubit pp oml 67","","","","","","",4.25138888889,8.18388888889,"OF","","","","","","","","","","","","","","no","Aug","2011","08",""
"","001/2011","MPN","2011-08-23","","","0","Other","ERHA FPSO OML 133","","","","","","",4.34166666667,5.35666666667,"OF","","","","","","","","","","","","","","no","Aug","2011","08",""
"","39/2011","MPN","2011-08-24","","","0","Corrosion","","","","","","","",4.35213888889,7.98575,"OF","","","","","","","","","","","","","","no","Aug","2011","08",""
"","40/2011","MPN","2011-08-3","","","0","Equipment Failure","UBIT PP-BALTIC RIG/UNAM D OML 67","","","","","","",4.29569166667,8.21802527778,"OF","","","","","","","","","","","","","","no","Aug","2011","08",""
"","41/2011","MPN","2011-09-03","","","0","Equipment Failure","UBIT PP OML 67","","","","","","",4.27711111111,8.08288888889,"OF","","","","","","","","","","","","","","no","Sep","2011","09",""
"","42/2011","MPN","2011-09-03","","","0","Other","UBIT AREA OML 67","","","","","","",4.29569361111,8.21802527778,"OF","","","","","","","","","","","","","","no","Sep","2011","09",""
"","002/2011","MPN","2011-09-06","","","0","Other","Erhab FPSO OML 133","","","","","","",4.34166666667,5.355,"OF","","","","","","","","","","","","","","no","Sep","2011","09",""
"","002/2011","MPN","2011-09-06","","","0","Other","ERHA FPSO OML 133","","","","","","",4.34166666667,5.35666666667,"OF","","","","","","","","","","","","","","no","Sep","2011","09",""
"","43/2011","MPN","2011-09-2","","","0","Other","Edop area oml 67","","","","","","",4.34566666667,7.67833333333,"OF","","","","","","","","","","","","","","no","Sep","2011","09",""
"","44/2011","MPN","2011-09-24","","","0","Other","ubit pp OML 67","","","","","","",4.29569361111,8.21802527778,"OF","","","","","","","","","","","","","","no","Sep","2011","09",""
"","45/2011","MPN","2011-09-29","","","0","Other","yoho pp OML 104","","","","","","",4.16666666667,7.49083333333,"OF","","","","","","","","","","","","","","no","Sep","2011","09",""
"","46/2011","MPN","2011-09-3","","","0","Equipment Failure","Ubit PP- Unam B OML 67","","","","","","",4.29569361111,8.06794,"OF","","","","","","","","","","","","","","no","Sep","2011","09",""
"","47/2011","MPN","2011-10-16","","","0","Equipment Failure","Edop PP OML 67","","","","","","",4.34566666667,7.67833333333,"OF","","","","","","","","","","","","","","no","Oct","2011","10",""
"","50/2011","MPN","2011-10-24","","","0","Other","Ekpe field off Barge major vessel offshore Akwa ibom state","","","","","","",4.34566666667,7.67833333333,"OF","","","","","","","","","","","","","","no","Oct","2011","10",""
"","51/2011","MPN","2011-10-24","","","0","Other","Around Baltic- Ubil 176U OML 67","","","","","","",4.34566666667,7.67833333333,"OF","","","","","","","","","","","","","","no","Oct","2011","10",""
"","48/2011","MPN","2011-10-25","","","0","Equipment Failure","yoho pp oml 104","","","","","","",4.15,7.49083333333,"OF","","","","","","","","","","","","","","no","Oct","2011","10",""
"","49/2011","MPN","2011-10-25","","","0","Equipment Failure","Edop PP OML 67","","","","","","",4.49566666667,7.67833333333,"OF","","","","","","","","","","","","","","no","Oct","2011","10",""
"","52/2011","MPN","2011-11-11","","","0","Other","Oso RG cellar Deck","","","","","","",4.34557166667,7.67729055556,"OF","","","","","","","","","","","","","","no","Nov","2011","11",""
"","53/2011","MPN","2011-11-17","","","0","Operational Error","Lloyd Noble/Ubit-J","","","","","","",4.24359,8.1661475,"OF","","","","","","","","","","","","","","no","Nov","2011","11",""
"","56/2011","MPN","2011-11-3","","","0","Other","Lloyd Noble/ Ubit OML 67","","","","","","",4.34566666667,7.67833333333,"OF","","","","","","","","","","","","","","no","Nov","2011","11",""
"","55/2011","MPN","2011-11-3","","","0","Other","Usari PP OML 70","","","","","","",4.345,7.67833333333,"OF","","","","","","","","","","","","","","no","Nov","2011","11",""
"","57/2011","MPN","2011-12-15","","","0","Other","Usari FC OML 70","","","","","","",4.34566666667,7.67833333333,"OF","","","","","","","","","","","","","","no","Dec","2011","12",""
"","58/2011","MPN","2011-12-27","","","0","Equipment Failure","Mfem A/GSF Baltic OML 67","","","","","","",4.28623888889,3.23164305556,"OF","","","","","","","","","","","","","","no","Dec","2011","12",""
"","59/2011","MPN","2011-12-28","","","0","Equipment Failure","Edopp PP OML 67","","","","","","",4.279,7.67833333333,"OF","","","","","","","","","","","","","","no","Dec","2011","12",""
