id,cause,jivdate,images1,terrain,comments,jivreport,spillvolume,incidentsite,GeoID,location,country,"city,country",geo_longitude,geo_latitude,geo_accuracy,datereported,cleanupcompleted
798452_16in_Egbema-Assa_pipeline_at_Assa_JIV.pdf,Operational,4/7/2012,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/798452_16in_Egbema-Assa_pipeline_at_Assa_Photos.pdf,Land,Site certification planned for June 2012.,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/798452_16in_Egbema-Assa_pipeline_at_Assa_JIV.pdf,0.5,"16"" Egbema - Assa Trunkline at Assa ",1,Assa,Nigeria,"Assa, Nigeria",8.67425,9.08457,9,4/5/2012,Recovery of spilled volume was completed on 5th April 2012. Initial Cleanup of residual impacted area was completed on 27th April 2012.
800043_8in_Etelebou-Kolocreek_pipeline_at_Biogbolo_JIV.pdf,Operational,4/13/2012,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/800043_8in_Etelebou-Kolocreek_pipeline_at_Biogbolo_Photos.pdf,Swamp,Recovery interrupted from 13th to 24th of April due to community disturbances. Initial cleanup of residual impacted area planned for completion in June 2012.,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/800043_8in_Etelebou-Kolocreek_pipeline_at_Biogbolo_JIV.pdf,5.7,"8"" Etelebou - Kolo-Creek Pipeline at Biogbolo. ",2,Biogbolo,Nigeria,"Biogbolo, Nigeria",8.67425,9.08457,9,4/7/2012,Recovery of spilled volume commenced on 13th April 2012 and was completed on 30th April 2012.
802195_KoloCreek_well3T_flowline_at_Otuasega_JIV.pdf,Sabotage/Theft,4/17/2012,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/802195_KoloCreek_well3T_flowline_at_Otuasega_Photos.pdf,Land,Initial cleanup of residual impacted area planned for completion in June 2012.,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/802195_KoloCreek_well3T_flowline_at_Otuasega_JIV.pdf,3.9,KoloCreek Well 3T Flowline at Otuasega ,3,Otuasega,Nigeria,"Otuasega, Nigeria",10.68033,7.14686,50,4/12/2012,Recovery of spilled volume was completed on 25th April 2012.
802112_12in_ImoRiver-Ogale_pipeline_at_Owaza_JIV.pdf,Sabotage/Theft,4/17/2012,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/802112_12in_ImoRiver-Ogale_pipeline_at_Owaza_Photos.pdf,Land,Initial cleanup of residual impacted area planned for completion in May 2012,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/802112_12in_ImoRiver-Ogale_pipeline_at_Owaza_JIV.pdf,493.2,"12"" Imo-River - Ogale Pipeilne at Owaza. ",4,Owaza,Nigeria,"Owaza, Nigeria",7.65874,8.94925,50,4/16/2012,Recovery of spilled volume was completed on 21st April 2012
805170_12in_ImoRiver2_pipeline_at_Owaza_JIV.pdf,Sabotage/Theft,4/24/2012,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/805170_12in_ImoRiver2_pipeline_at_Owaza_Photos.pdf,Land,Initial cleanup of residual impacted area planned for completion in June2012,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/805170_12in_ImoRiver2_pipeline_at_Owaza_JIV.pdf,0.52,"12"" Imo-River - Ogale Pipeilne at Owaza. ",5,Owaza,Nigeria,"Owaza, Nigeria",7.65874,8.94925,50,4/23/2012,Recovery of spilled volume was completed on 25th April 2012.
805168_18in_Assa-Rumuekpe_pipeline_at_Awara_JIV.pdf,Sabotage/Theft,4/26/2012,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/805168_18in_Assa-Rumuekpe_pipeline_at_Awara_Photos.pdf,Land,"Remediation is ongoing, Site Certification planned for August 2012.",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/805168_18in_Assa-Rumuekpe_pipeline_at_Awara_JIV.pdf,40.1,"18"" Assa - Rumuekpe Pipeline at Awara. ",6,Awara,Nigeria,"Awara, Nigeria",6.771183,5.354395,40,4/23/2012,Recovery of spilled volume was completed on 26th April 2012.  Initial Cleanup of residual impacted area was completed on 7th May 2012.
807705_Ahia_Well3S_flowline_at_Omudioga_JIV.pdf,Sabotage/Theft,5/2/2012,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/807705_Ahia_Well3S_flowline_at_Omudioga_Photos.pdf,Land,JIV recommends no cleanup action required. Closed.,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/807705_Ahia_Well3S_flowline_at_Omudioga_JIV.pdf,0.3,Ahia Well 3S Flowline at Ahia at Umudioga ,7,Ahia at Umudioga,Nigeria,"Ahia at Umudioga, Nigeria",6.4499,6.64922,39,4/29/2012,No recoverable oil was found on site.
807673_Oroni_Abandoned_Well1_flowline_at_Enhwe_JIV.pdf,Sabotage/Theft,5/2/2012,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/807673_Oroni_Abandoned_Well1_flowline_at_Enhwe_Photos.pdf,Land,Initial cleanup of residual impacted area planned for completion in June 2012.,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/807673_Oroni_Abandoned_Well1_flowline_at_Enhwe_JIV.pdf,0.04,Oroni Abandoned Well-1 Flowline  at Enhwe ,8,Enhwe,Nigeria,"Enhwe, Nigeria",4.72542,10.18142,50,4/29/2012,Recovery of spilled volume was completed on 5th May 2012.
695405_12in_ImoRiver-Oghale_pipeline_at_KomKom_JIV.pdf,Sabotage/Theft,8/4/2011,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695405_Imo River_OgaleL_pipeline_at_Komkom_Photos.pdf,Land,Spill was accompanied by fire. JIV started on 4th August 2011 and was completed on 7th August 2011. Protracted delay due to site flooding during the rainy season as well as security issues which were only resolved in November 2011. Schedule revised due to a nationwide industrial action by labour unions in January 2012. Post Cleanup Inspection completed on 3rd February  2012.,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695405_12in_ImoRiver-Oghale_pipeline_at_KomKom_JIV.pdf,49.5,"12"" Imo River - Ogale Pipeline at KomKom ",9,KomKom,Nigeria,"KomKom, Nigeria",8.67425,9.08457,9,8/2/2011,Recovery of spilled volume completed on  7th August 2011. Cleanup of residual impacted area completed on 29th August 2011.
695228(A)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_JIV.pdf,Sabotage/Theft,8/6/2011,http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695228(A)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_Photos.pdf,Land,"The cleanup of residual impacted areas, which was originally planned for completion in October 2011, was suspended on 18th October 2011 due to community issues. Initial volume of spill estimated during JIV of 6th August 2011 was 71.1 bbls. However, 90 bbls of oil was subsequently recovered, resulting in a restated volume of 128.6 bbls. Restated volume has been communicated to the Regulators as per statutory requirement. Schedule revised due to a nationwide industrial action by labour unions in January 2012.  Post Cleanup Inspection completed on 7th February  2012.",http://www-static.shell.com/static/nga/downloads/pdfs/oil_spills/695228(A)_14in_Okordia-Rumuekpe_pipeline_at_Ikarama_JIV.pdf,128.6,"14"" Okordia-Rumuekpe Pipeline at Ikarama ",10,Ikarama,Nigeria,"Ikarama, Nigeria",5.84782,7.61163,50,8/2/2011,Recovery of spilled volume commenced on 6th August 2011 and was completed on 3rd October 2011. Cleanup of residual impacted area completed on 11th November 2011.
